total_accuracy,f1_scream,recall_scream,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info,userInput
0.968229167,0.967549002,0.95625,scream,300,150,150,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-08-21
0.969921875,0.96997242,0.971484375,scream,400,200,200,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-08-21
0.97140625,0.971608159,0.9765625,scream,500,250,250,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-08-21
0.968359375,0.96822987,0.966666667,scream,600,300,300,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-08-21
0.964285714,0.964251114,0.965178571,scream,700,350,350,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-08-21
0.968692085,0.968750963,0.972037551,scream,734,367,367,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-08-21
0.74375,0.741113884,0.7421875,scream,200,100,100,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-08-21
0.783333333,0.780064808,0.772916667,scream,300,150,150,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-08-21
0.810351563,0.808971416,0.80703125,scream,400,200,200,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-08-21
0.83265625,0.829719878,0.8196875,scream,500,250,250,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-08-21
0.844010417,0.842751937,0.839322917,scream,600,300,300,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-08-21
0.850669643,0.849913383,0.845758929,scream,700,350,350,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-08-21
0.847245326,0.845930435,0.843245909,scream,734,367,367,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-08-21
0.787109375,0.795752977,0.83203125,scream,200,100,100,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-08-21
0.819791667,0.826414907,0.8578125,scream,300,150,150,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-08-21
0.853320313,0.85198504,0.850390625,scream,400,200,200,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-08-21
0.86765625,0.86800479,0.8728125,scream,500,250,250,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-08-21
0.878515625,0.87964975,0.888020833,scream,600,300,300,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-08-21
0.888616071,0.888769002,0.891294643,scream,700,350,350,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-08-21
0.892223037,0.891797746,0.889896259,scream,734,367,367,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-08-21
